"name","genre","path"
"A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/A%20Midsummer-Night's%20Dream.txt"
"All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/All's%20Well%20that%20Ends%20Well.txt"
"As You Like It","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/As%20You%20Like%20It.txt"
"Cymbeline","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/Cymbeline.txt"
"Love's Labour's Lost","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/Love's%20Labour's%20Lost.txt"
"Measure for Measure","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/Measure%20for%20Measure.txt"
"Much Ado About Nothing","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/Much%20Ado%20About%20Nothing.txt"
"Pericles, Prince of Tyre","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/Pericles,%20Prince%20of%20Tyre.txt"
"The Comedy of Errors","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/The%20Comedy%20of%20Errors.txt"
"The Merchant Of Venice","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/The%20Merchant%20Of%20Venice.txt"
"The Merry Wives of Windsor","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/The%20Merry%20Wives%20of%20Windsor.txt"
"The Taming of the Shrew","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/The%20Taming%20of%20the%20Shrew.txt"
"The Tempest","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/plays_by_genre/comedies/The%20Tempest.txt"
