"character","play","genre","path"
"ALL FOUR","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/ALL%20FOUR.txt"
"ALL","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/ALL.txt"
"BOTTOM","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/BOTTOM.txt"
"COBWEB","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/COBWEB.txt"
"DEMETRIUS","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/DEMETRIUS.txt"
"dramatis_personae","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/dramatis_personae.txt"
"EGEUS","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/EGEUS.txt"
"FAIRY","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/FAIRY.txt"
"FLUTE","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/FLUTE.txt"
"HELENA","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/HELENA.txt"
"HERMIA","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/HERMIA.txt"
"HIPPOLYTA","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/HIPPOLYTA.txt"
"LION","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/LION.txt"
"LYSANDER","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/LYSANDER.txt"
"MOONSHINE","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/MOONSHINE.txt"
"MOTH","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/MOTH.txt"
"MUSTARD-SEED","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/MUSTARD-SEED.txt"
"OBERON","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/OBERON.txt"
"PEASE-BLOSSOM","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/PEASE-BLOSSOM.txt"
"PHILOSTRATE","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/PHILOSTRATE.txt"
"PUCK","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/PUCK.txt"
"PYRAMUS","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/PYRAMUS.txt"
"QUINCE-PROLOGUE","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/QUINCE-PROLOGUE.txt"
"QUINCE","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/QUINCE.txt"
"SNOUT","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/SNOUT.txt"
"SNUG","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/SNUG.txt"
"STARVELING","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/STARVELING.txt"
"THESEUS","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/THESEUS.txt"
"THISBE","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/THISBE.txt"
"TITANIA","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/TITANIA.txt"
"WALL","A Midsummer-Night's Dream","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/A%20Midsummer-Night's%20Dream_characters/WALL.txt"
"ALL","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/ALL.txt"
"BERTRAM","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/BERTRAM.txt"
"BOTH LORDS","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/BOTH%20LORDS.txt"
"BOTH","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/BOTH.txt"
"CLOWN","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/CLOWN.txt"
"COUNTESS","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/COUNTESS.txt"
"DIANA","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/DIANA.txt"
"dramatis_personae","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/dramatis_personae.txt"
"DUKE","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/DUKE.txt"
"GENTLEMAN 1","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/GENTLEMAN%201.txt"
"GENTLEMAN 2","All's Well that Ends Well","comedies","https://raw.githubusercontent.com/clarkdatalabs/soms/master/Shakespeare_txt/comedies/All's%20Well%20that%20Ends%20Well_characters/GENTLEMAN%202.txt"
